@relation Agglomerative-Entry-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute Gender string
@attribute Country string
@attribute Entry string
@attribute Continent string

@data
275,Male,Eritrea,Febraury,AFRICA
276,Male,Congo,the,Democratic
277,of,the,Febraury,AFRICA
278,Male,Ethiopia,Febraury,AFRICA
279,Male,Eritrea,Febraury,AFRICA
280,Male,Ethiopia,Febraury,AFRICA
281,Male,Eritrea,Febraury,AFRICA
282,Male,Ethiopia,Febraury,AFRICA
283,Male,Ethiopia,Febraury,AFRICA
284,Male,Ethiopia,Febraury,AFRICA
285,Male,Mongolia,Febraury,ASIA
286,Male,Cameroon,Febraury,AFRICA
287,Male,Ethiopia,Febraury,AFRICA
288,Male,Afghanistan,Febraury,ASIA
289,Male,Haiti,Febraury,AMERICA
290,Male,Saudi,Arabia,Febraury
291,Male,Venezuela,Febraury,AMERICA
292,Male,Mauritania,Febraury,AFRICA
293,Male,Brazil,Febraury,AMERICA
294,Male,Egypt,Febraury,AFRICA
295,Male,Kenya,Febraury,AFRICA
296,Male,Ethiopia,Febraury,AFRICA
297,Male,Ethiopia,Febraury,AFRICA
298,Male,Mongolia,Febraury,ASIA
299,Male,Eritrea,Febraury,AFRICA
300,Female,Eritrea,Febraury,AFRICA
301,Male,Ethiopia,Febraury,AFRICA
302,Male,Ethiopia,Febraury,AFRICA
303,Female,Eritrea,Febraury,AFRICA
304,Male,Ethiopia,Febraury,AFRICA
305,Male,Mongolia,Febraury,ASIA
